1060|"Aaron"|"Kelley"|"M"|1963|"single"|"7310 Breathing Street"|"63033"|"Groningen"|51593|"Groningen"|52612|52784|"(337) 386-5863"|"G: 130,000 - 149,999"|7000|"aaron.kelley@company2.com"|"Customer total"|52772|2||1998-05-31||"A"|
1082|"Abel"|"Forster"|"M"|1944|"widow"|"2772 Guidelines Circle"|"39245"|"Brisbane"|51218|"Queensland"|52703|52774|"(289) 712-2308"|"F: 110,000 - 129,999"|7000|"abel.forster@company2.com"|"Customer total"|52772|2||1999-12-31||"A"|
217|"Abigail"|"Malloney"|"F"|1935|"divorced"|"2930 Hammond Lane"|"40453"|"North Carrollton"|51989|"MS"|52658|52790|"(360) 546-3847"|""|1500|"abigail.malloney@company2.com"|"Customer total"|52772|2||1998-05-31||"A"|
412|"Abigail"|"Hardy"|"F"|1970|"single"|"882 All Avenue"|"37962"|"Fort William"|51515|"Scotland - Highlands and Islands"|52737|52789|"(307) 243-3318"|"E: 90,000 - 109,999"|5000|"abigail.hardy@company2.com"|"Customer total"|52772|2||1998-02-28||"A"|
849|"Abner"|"Abrams"|"M"|1973|"married"|"1585 Hirings Turnpike"|"90497"|"Aix-les-Bains"|51047|"Rhtne-Alpes"|52711|52779|"(505) 729-6406"|"H: 150,000 - 169,999"|9000|"abner.abrams@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
325|"Adah"|"Bacon"|"F"|1943|"divorced"|"11563 Seismology Street"|"62706"|"Antony"|51067|"Ile-de-France"|52623|52779|"(615) 400-9070"|"B: 30,000 - 49,999"|1500|"adah.bacon@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
157|"Adalia"|"Haske"|"F"|1935|"divorced"|"6524 Peiping Drive"|"59862"|"Malaga"|51894|"Malaga"|52661|52778|"(415) 520-3948"|"H: 150,000 - 169,999"|9000|"adalia.haske@company2.com"|"Customer total"|52772|2||1998-03-31||"A"|
445|"Adalia"|"Abbey"|"F"|1933|"divorced"|"11535 Apprehensively Lane"|"53574"|"Almere"|51057|"Flevopolder"|52599|52784|"(289) 512-2661"|"G: 130,000 - 149,999"|7000|"adalia.abbey@company2.com"|"Customer total"|52772|2||1998-03-31||"A"|
776|"Adam"|"Savage"|"M"|1957|"single"|"9516 Overlooking Turnpike"|"63033"|"Groningen"|51593|"Groningen"|52612|52784|"(656) 263-1064"|""|1500|"adam.savage@company2.com"|"Customer total"|52772|2||1998-06-30||"A"|
580|"Addison"|"Hurd"|"M"|1981|"married"|"10498 Incenses Street"|"37281"|"Danville"|51379|"MO"|52657|52790|"(666) 910-6909"|"G: 130,000 - 149,999"|7000|"addison.hurd@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
78|"Adelaide"|"Feathers"|"F"|1972|""|"965 Snowy Lane"|"69656"|"Saarbruecken"|52277|"Saarland"|52730|52776|"(798) 613-4272"|"I: 170,000 - 189,999"|10000|"adelaide.feathers@company2.com"|"Customer total"|52772|2||1998-04-30||"A"|
80|"Adelaide"|"Carpenter"|"F"|1976|"single"|"4630 Interminable Drive"|"56658"|"Copenhagen"|51339|"Copenhagen"|52574|52777|"(343) 885-7182"|"J: 190,000 - 249,999"|10000|"a.carpenter@company2.com"|"Customer total"|52772|2||1998-04-30||"A"|
1061|"Adelbert"|"Abramowitz"|"M"|1938|"married"|"10151 Rapids Circle"|"41579"|"Enschede"|51453|"Overijssel"|52692|52784|"(282) 244-4432"|"G: 130,000 - 149,999"|7000|"a.abramowitz@company2.com"|"Customer total"|52772|2||1998-06-30||"A"|
661|"Adelbert"|"Kiker"|"M"|1925|"divorced"|"11878 Balkanizes Street"|"87100"|"Curitiba"|51347|"Parana"|52698|52775|"(263) 494-5805"|"G: 130,000 - 149,999"|7000|"adelbert.kiker@company2.com"|"Customer total"|52772|2||1998-02-28||"A"|
218|"Adine"|"Eden"|"F"|1941|"widow"|"5838 Minuet Drive"|"42859"|"Assen"|51074|"Drenthe"|52579|52784|"(383) 777-5995"|"A: Below 30,000"|1500|"adine.eden@company2.com"|"Customer total"|52772|2||1998-09-30||"A"|
119|"Agna"|"Nickols"|"F"|1989|"single"|"10397 Acquaints Street"|"42859"|"Assen"|51074|"Drenthe"|52579|52784|"(528) 885-2458"|"E: 90,000 - 109,999"|5000|"agna.nickols@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
103|"Aileen"|"Newkirk"|"F"|1975|"married"|"10770 Simon Circle"|"76486"|"Buenos Aires"|51223|"Buenos Aires"|52566|52773|"(581) 765-6711"|"H: 150,000 - 169,999"|9000|"aileen.newkirk@company2.com"|"Customer total"|52772|2||1998-04-30||"A"|
383|"Aileen"|"East"|"F"|1943|"divorced"|"6465 Alcestis Street"|"46274"|"Adelaide"|51045|"South Australia"|52741|52774|"(721) 597-5255"|"D: 70,000 - 89,999"|3000|"aileen.east@company2.com"|"Customer total"|52772|2||1998-02-28||"A"|
319|"Aimee"|"Landolt"|"F"|1965|"married"|"7534 Complimenter Street"|"59272"|"San Carlos de Bariloche"|52288|"Rio Negro"|52712|52773|"(620) 235-9493"|"I: 170,000 - 189,999"|10000|"aimee.landolt@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
698|"Alaster"|"Legard"|"M"|1971|"married"|"3049 Major Lane"|"90074"|"Bremen"|51215|"Bremen"|52564|52776|"(388) 473-9689"|"A: Below 30,000"|1500|"alaster.legard@company2.com"|"Customer total"|52772|2||1998-12-31||"A"|
366|"Aldercy"|"Spriggs"|"F"|1943|""|"10413 Disturber Drive"|"91316"|"Darwin"|51381|"Northern Territory"|52687|52774|"(636) 537-1300"|"G: 130,000 - 149,999"|7000|"aldercy.spriggs@company2.com"|"Customer total"|52772|2||1998-03-31||"A"|
476|"Aldercy"|"Speer"|"F"|1932|""|"6214 Dwarfed Avenue"|"34646"|"Girona"|51582|"Girona"|52611|52778|"(645) 690-6239"|"H: 150,000 - 169,999"|9000|"aldercy.speer@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
309|"Alethea"|"Kotch"|"F"|1930|""|"6132 Cored Street"|"81319"|"Barre"|51165|"MA"|52649|52790|"(481) 210-6284"|"F: 110,000 - 129,999"|7000|"alethea.kotch@company2.com"|"Customer total"|52772|2||1998-02-28||"A"|
359|"Alexa"|"Malone"|"F"|1976|"married"|"5603 Harrington Lane"|"67968"|"Chimney Rock"|51326|"NC"|52664|52790|"(603) 666-7382"|"E: 90,000 - 109,999"|5000|"alexa.malone@company2.com"|"Customer total"|52772|2||1998-01-31||"A"|
795|"Alexander"|"Beiers"|"M"|1938|"widow"|"8508 Sated Street"|"49147"|"Almeria"|51058|"Almeria"|52545|52778|"(725) 734-5071"|"G: 130,000 - 149,999"|7000|"alexander.beiers@company2.com"|"Customer total"|52772|2||1998-02-28||"A"|
787|"Alexis"|"Mallory"|"M"|1990|"single"|"382 Flatbed Street"|"62706"|"Antony"|51067|"Ile-de-France"|52623|52779|"(601) 812-7924"|"E: 90,000 - 109,999"|5000|"alexis.mallory@company2.com"|"Customer total"|52772|2||1998-06-30||"A"|
